Measured_PPV_mm_per_s,Distance_from_Dam_m,Charge_Factor,Total_Explosive_Quantity_kg,SDI,BVII,RDI,Slope_deg,Burden_m,Spacing_m,Severity_Ratio,Rec_Target_PPV_mm_per_s,Rec_Distance_from_Dam_m,Rec_Charge_Factor,Rec_Burden_m,Rec_Spacing_m
11.37,2966,1.07,1014,74.3,0.536,0.87,30,4.83,4.09,2.275,3.58,4928.7,0.51,5.88,4.95
3.19,282,0.68,929,228.1,0.535,0.61,14,4.32,3.37,1.01,4.9,332.0,0.6,4.42,3.47
10.97,1674,1.13,1079,246.2,0.413,0.535,27,4.52,3.41,2.193,3.78,2716.0,0.54,5.47,4.14
3.96,496,0.59,2060,18.3,0.762,0.612,3,3.1,5.56,1.01,4.51,546.0,0.5,3.2,5.66
5.02,1827,2.06,1664,97.9,0.802,0.787,35,4.28,4.3,1.01,4.9,1916.6,2.01,4.38,4.45
5.0,2926,1.3,1823,413.4,0.762,0.728,0,3.46,5.05,1.01,4.9,3057.3,1.25,3.56,5.15
14.04,1617,1.39,2858,415.4,0.443,0.846,43,2.6,2.62,2.807,2.58,3182.9,0.46,3.17,3.24
15.68,1006,2.29,970,146.2,0.442,0.603,33,2.37,3.78,3.137,2.73,2168.7,0.61,3.15,4.84
12.92,1456,1.82,1916,437.4,0.526,0.671,16,3.04,4.18,2.583,3.55,2718.2,0.67,3.94,5.29
19.36,2274,0.52,2165,385.9,0.574,0.461,38,2.41,3.15,3.871,2.48,5396.2,0.2,3.39,4.4
9.37,100,2.39,1968,209.0,0.872,0.444,37,4.99,2.92,1.875,4.14,152.5,1.27,5.83,3.17
7.86,118,0.97,1308,374.2,0.496,0.677,43,2.15,5.55,1.571,3.55,305.1,0.62,2.25,6.07
17.77,683,0.72,671,480.7,0.426,0.581,32,3.32,5.79,3.553,2.87,1495.2,0.2,4.77,7.84
6.8,555,2.04,530,229.5,0.636,0.768,20,3.36,2.78,1.36,4.37,665.6,1.42,3.46,2.88
19.37,2136,1.5,546,119.2,0.65,0.426,25,2.9,3.72,3.875,2.54,4988.2,0.41,4.32,5.17
3.21,1232,1.37,629,470.9,0.671,0.473,45,3.71,5.85,1.01,4.9,1384.8,1.32,3.81,5.95
19.49,2592,1.0,2899,301.9,0.896,0.919,35,2.45,2.79,3.898,2.16,6213.4,0.23,3.69,4.08
3.73,2052,1.59,1477,52.6,0.459,0.74,4,4.35,4.75,1.01,4.9,2173.8,1.54,4.45,4.85
18.15,2749,1.05,2145,286.3,0.822,0.827,32,3.0,5.9,3.63,2.82,6229.1,0.22,4.1,8.12
11.97,2250,2.3,2104,250.3,0.603,0.905,0,3.77,5.92,2.394,2.99,3936.9,0.84,4.56,7.06
19.88,1087,0.93,557,427.8,0.586,0.678,5,4.15,4.15,3.976,2.91,2719.8,0.2,5.95,6.13
4.25,619,2.27,1629,265.3,0.96,0.857,36,4.67,3.07,1.01,4.9,712.0,2.19,4.77,3.17
12.42,958,1.62,1853,127.6,0.549,0.715,1,4.51,3.21,2.483,3.49,1830.3,0.55,5.7,4.0
19.48,273,2.16,1267,337.8,0.786,0.534,4,3.82,5.61,3.896,2.42,652.0,0.4,5.53,8.03
11.89,1466,1.93,1182,271.3,0.565,0.603,25,3.17,5.69,2.379,3.59,2536.3,0.7,3.91,6.76
13.7,2578,1.89,2508,116.5,0.704,0.694,40,3.51,4.63,2.74,3.16,4961.2,0.59,4.26,6.02
14.83,826,1.15,2833,286.8,0.872,0.59,12,4.31,5.18,2.966,2.54,1609.4,0.44,5.63,6.74
10.73,1810,0.97,2290,410.8,0.929,0.601,11,4.63,5.09,2.145,3.56,3055.8,0.44,5.41,5.82
13.67,1975,0.92,1977,14.3,0.903,0.602,4,2.31,4.82,2.734,2.72,3754.3,0.36,3.07,6.03
12.93,2997,2.21,1385,315.4,0.749,0.474,1,3.15,5.4,2.587,3.02,5563.4,0.69,3.86,6.61
18.32,1781,2.14,896,174.8,0.549,0.451,3,4.33,4.9,3.664,2.28,4027.2,0.43,6.13,6.74
3.77,1447,1.38,2038,146.3,0.797,0.428,26,3.29,4.37,1.01,4.5,1549.2,1.33,3.39,4.55
7.78,1089,0.76,2573,196.3,0.826,0.467,9,3.0,3.33,1.555,3.72,1481.8,0.5,3.15,3.76
19.16,2786,1.26,812,171.0,0.406,0.606,12,3.23,5.1,3.831,2.59,6525.7,0.23,4.56,7.15
18.13,519,1.74,2673,416.1,0.664,0.756,43,3.81,4.16,3.627,2.61,1212.0,0.4,5.23,5.74
10.75,693,1.41,2088,137.4,0.906,0.513,1,5.0,3.53,2.149,3.41,1261.3,0.61,5.76,4.25
13.54,2632,2.06,1721,366.6,0.694,0.933,25,3.48,5.31,2.708,2.79,4994.5,0.76,4.19,6.55
7.72,1874,2.5,1310,47.0,0.587,0.885,14,2.63,4.94,1.543,4.21,2457.9,1.46,2.97,5.38
6.2,2559,0.88,2735,475.7,0.923,0.712,45,2.49,5.78,1.24,4.7,3058.6,0.72,2.59,6.07
10.88,1035,1.42,2532,311.2,0.494,0.835,9,2.13,3.08,2.177,3.25,1691.7,0.65,2.66,3.68
9.01,1207,1.36,2007,353.4,0.524,0.62,21,3.68,4.77,1.801,4.11,1768.0,0.81,3.97,5.43
12.92,1236,1.11,949,149.0,0.812,0.422,39,3.63,3.35,2.584,3.25,2207.8,0.45,4.32,4.23
4.32,431,0.9,2394,206.0,0.611,0.943,24,2.62,5.66,1.01,4.9,563.7,0.84,2.72,5.86
19.56,2802,0.63,1877,111.9,0.828,0.477,14,4.09,2.85,3.913,2.3,6580.5,0.2,5.87,4.03
19.77,2188,2.27,1096,466.3,0.495,0.969,12,4.22,4.8,3.953,2.02,5167.5,0.55,6.09,7.07
14.87,1893,1.34,2647,244.1,0.551,0.743,7,2.78,5.27,2.974,3.26,3874.9,0.45,3.63,6.64
12.11,1058,1.49,1115,315.2,0.494,0.583,20,3.03,3.74,2.423,3.53,1950.5,0.63,3.59,4.46
8.26,204,2.33,1447,367.1,0.972,0.697,20,4.97,5.84,1.652,3.51,257.4,1.42,5.52,6.23
16.83,301,2.05,2081,185.6,0.643,0.701,21,3.12,5.48,3.367,2.6,746.7,0.46,4.23,7.48
14.64,2597,0.76,1055,360.1,0.602,0.414,45,4.28,3.53,2.928,3.08,5215.2,0.2,5.45,4.39
5.76,1942,1.63,777,338.0,0.409,0.613,32,3.36,2.53,1.153,4.81,2088.3,1.45,3.57,2.72
18.49,1966,1.38,2513,352.8,0.492,0.844,44,4.38,3.54,3.697,2.96,4566.5,0.28,6.24,5.03
16.98,2096,2.09,990,244.6,0.653,0.706,26,4.31,3.48,3.397,2.35,4560.4,0.46,5.81,4.55
19.15,1389,1.95,754,191.5,0.441,0.547,39,4.0,5.61,3.829,2.49,3298.6,0.43,5.84,8.08
15.34,1009,1.88,2928,111.0,0.706,0.601,21,4.56,5.88,3.067,2.45,2081.5,0.61,6.15,7.85
13.43,309,1.18,1391,412.3,0.673,0.918,29,4.82,2.75,2.686,2.94,662.5,0.32,6.05,3.51
10.11,662,2.11,1041,304.2,0.86,0.715,8,3.74,4.15,2.022,3.03,984.8,1.01,4.2,4.6
18.86,2860,0.6,1787,222.2,0.796,0.717,44,2.71,4.42,3.771,2.97,6659.0,0.2,4.01,6.4
17.72,1663,0.82,2133,472.0,0.668,0.977,34,3.2,2.83,3.545,2.68,3624.2,0.2,4.29,4.0
3.77,870,1.17,1324,23.9,0.535,0.593,17,4.27,3.82,1.01,4.9,920.0,1.12,4.37,3.92
3.45,2601,0.65,1852,425.1,0.836,0.688,41,3.95,3.61,1.01,4.54,2651.0,0.56,4.05,3.71
9.4,2814,0.97,780,498.8,0.825,0.887,4,2.53,4.38,1.88,3.37,4289.8,0.55,2.96,4.95
16.78,728,2.16,1798,443.5,0.492,0.855,26,2.15,4.81,3.356,2.49,1564.3,0.64,3.08,6.66
19.78,1728,2.4,1272,405.2,0.949,0.559,5,4.05,4.96,3.957,2.4,4122.9,0.58,5.9,7.06
5.56,1801,1.11,827,187.2,0.439,0.491,31,2.75,2.98,1.111,4.9,1959.7,0.94,2.98,3.08
13.1,486,1.03,2758,115.7,0.433,0.82,7,3.5,5.35,2.62,2.98,991.8,0.36,4.19,6.79
9.48,2035,1.06,1422,367.4,0.512,0.555,38,4.24,4.87,1.895,3.34,3080.6,0.46,4.63,5.34
19.49,2443,1.06,1051,152.3,0.946,0.954,20,3.69,5.61,3.898,2.1,5824.9,0.2,5.33,8.22
17.32,2405,0.57,2573,88.0,0.712,0.478,17,2.25,4.07,3.463,2.27,5192.1,0.2,3.27,5.5
17.25,1204,2.35,2574,393.3,0.873,0.591,13,2.56,5.63,3.45,2.95,2599.2,0.65,3.5,7.7
10.97,367,0.93,1201,156.3,0.537,0.433,14,2.66,5.53,2.194,3.32,659.9,0.31,2.95,6.37
10.05,2566,1.34,2419,457.2,0.694,0.822,41,2.77,4.03,2.01,3.75,4109.6,0.58,3.08,4.81
7.65,2382,0.52,2960,420.3,0.615,0.935,25,3.7,3.83,1.53,4.23,3071.7,0.41,3.89,4.24
3.96,1956,2.22,666,423.8,0.897,0.782,43,3.51,5.76,1.01,4.61,2006.0,2.17,3.61,5.94
17.7,2098,1.96,668,385.8,0.414,0.963,31,2.61,5.0,3.54,2.3,4604.4,0.58,3.42,6.98
16.82,1480,2.39,728,440.4,0.546,0.477,38,2.2,5.75,3.364,2.98,3237.1,0.73,3.15,7.66
20.0,1336,2.06,2502,402.9,0.492,0.453,27,2.51,5.29,3.999,2.72,3206.9,0.45,3.65,7.59
19.94,673,1.13,866,301.3,0.916,0.903,38,4.95,4.63,3.989,2.38,1712.9,0.2,7.24,6.7
12.44,148,1.0,1027,147.9,0.681,0.913,42,3.41,2.91,2.488,2.75,226.0,0.42,3.99,3.6
16.07,1250,1.9,1290,444.1,0.643,0.899,31,4.6,3.52,3.215,2.3,2582.6,0.46,5.95,4.86
19.06,322,1.23,1023,420.3,0.67,0.879,12,4.55,5.89,3.812,2.35,753.2,0.23,6.5,8.33
17.44,1531,1.63,1595,236.4,0.983,0.617,14,3.53,3.62,3.489,2.19,3418.4,0.47,5.01,5.05
7.2,1628,0.51,2168,19.5,0.91,0.53,17,4.12,2.83,1.441,3.9,2132.6,0.33,4.4,3.2
10.66,1919,0.62,2653,319.3,0.824,0.957,38,2.58,4.98,2.132,3.34,3054.8,0.21,3.17,5.68
5.2,2424,1.57,2408,25.3,0.574,0.584,5,4.07,5.07,1.039,4.53,2621.6,1.52,4.21,5.24
19.22,1561,1.63,1805,463.1,0.499,0.639,10,2.82,3.5,3.844,2.15,3639.6,0.42,3.85,4.96
13.3,1230,2.0,632,480.8,0.953,0.82,31,4.5,3.54,2.661,3.46,2360.2,0.61,5.5,4.52
6.89,1781,0.76,2816,94.7,0.654,0.576,39,2.25,4.14,1.377,4.35,2230.4,0.49,2.44,4.29
14.42,2567,1.53,2142,338.2,0.567,0.891,19,4.32,2.58,2.884,3.38,4970.8,0.42,5.52,3.24
13.51,2758,0.89,2388,46.1,0.683,0.442,32,2.3,5.26,2.702,2.89,5252.1,0.27,2.8,6.42
9.09,474,0.69,2270,364.8,0.951,0.875,39,4.64,3.61,1.818,3.89,802.3,0.41,5.18,4.24
4.93,2220,1.32,517,173.6,0.632,0.761,7,2.91,5.49,1.01,4.68,2270.0,1.27,3.01,5.62
14.42,2121,0.83,2277,340.5,0.738,0.744,34,3.96,5.31,2.883,3.06,4179.0,0.29,5.25,6.65
11.85,1153,0.94,616,186.4,0.882,0.675,4,3.46,4.81,2.369,2.88,1978.3,0.27,4.01,6.0
16.13,1989,1.14,1297,72.8,0.656,0.566,34,3.1,3.64,3.226,2.29,4223.6,0.24,4.05,4.89
11.84,1923,1.02,2211,203.1,0.54,0.678,13,3.94,4.31,2.369,3.68,3308.1,0.34,4.76,5.33
17.49,1574,0.68,1252,56.3,0.997,0.67,20,4.84,4.06,3.497,2.73,3561.1,0.2,6.74,5.4
12.38,2342,0.68,2969,288.4,0.974,0.75,23,2.12,3.69,2.476,3.6,4121.4,0.2,2.65,4.46
12.54,1279,0.89,1892,20.5,0.906,0.569,16,4.76,5.47,2.507,2.99,2224.7,0.3,6.01,6.77
17.9,2994,0.6,2597,263.7,0.813,0.447,17,3.83,4.19,3.581,2.47,6648.4,0.2,5.43,5.66
9.86,1164,1.75,1177,443.2,0.577,0.487,33,4.42,5.41,1.972,3.46,1767.5,0.88,5.09,6.2
5.28,2170,1.07,605,418.9,0.948,0.82,11,3.15,2.87,1.056,4.9,2296.4,1.02,3.25,2.97
3.49,459,1.06,1157,441.4,0.565,0.413,15,3.42,2.99,1.01,4.9,509.0,1.01,3.52,3.09
15.84,2707,1.16,2446,461.0,0.88,0.914,3,4.61,5.92,3.167,3.23,5667.2,0.25,6.18,7.77
13.55,2819,1.83,1948,52.3,0.951,0.817,24,3.24,4.56,2.709,2.56,5253.7,0.69,4.21,5.91
14.97,2141,2.24,1595,64.4,0.762,0.861,33,3.6,4.28,2.994,3.1,4340.2,0.76,4.87,5.48
6.62,1241,2.02,1487,278.5,0.882,0.902,27,2.06,4.33,1.324,4.18,1544.7,1.42,2.2,4.43
5.32,1735,1.96,2308,447.0,0.875,0.474,45,2.48,3.25,1.064,4.53,1950.5,1.87,2.58,3.35
3.25,1503,1.47,2282,487.2,0.516,0.893,10,3.93,5.02,1.01,4.9,1662.4,1.42,4.03,5.12
8.96,2043,1.89,945,23.1,0.801,0.703,12,4.15,2.8,1.792,3.74,3065.6,1.0,4.47,3.22
13.03,778,1.61,2448,177.9,0.456,0.931,30,3.75,4.51,2.606,2.73,1517.6,0.52,4.51,5.69
9.67,2587,0.93,2617,106.4,0.705,0.932,24,2.43,4.5,1.934,3.3,3933.7,0.45,2.59,4.94
10.44,106,0.92,2497,378.0,0.497,0.415,38,3.34,5.7,2.087,3.37,268.6,0.41,3.84,6.59
18.37,2568,1.09,2697,320.1,0.65,0.63,9,3.07,4.34,3.674,2.52,5933.2,0.24,4.23,6.19
8.92,1691,2.32,1273,59.9,0.9,0.716,23,3.49,2.98,1.784,3.56,2382.8,1.31,3.95,3.49
11.74,932,1.59,2061,241.8,0.992,0.807,0,4.61,4.5,2.348,2.91,1646.3,0.67,5.56,5.46
16.32,2706,1.97,2175,342.7,0.591,0.572,24,4.33,2.82,3.264,2.27,5661.9,0.48,5.84,3.6
9.74,1910,1.19,1622,389.5,0.719,0.551,27,2.25,3.21,1.948,4.05,2959.3,0.59,2.56,3.63
13.58,1013,1.32,1801,10.0,0.707,0.629,35,4.67,2.61,2.715,3.48,1934.4,0.48,5.78,3.11
17.66,2111,0.75,2086,445.2,0.973,0.701,17,3.42,4.3,3.532,2.64,4710.3,0.2,4.89,6.03
19.14,1542,0.84,2186,284.6,0.687,0.971,5,4.23,2.8,3.828,3.05,3628.5,0.2,5.86,3.81
5.5,1550,2.15,1443,406.0,0.819,0.857,1,2.42,4.14,1.1,4.9,1787.2,2.02,2.63,4.24
18.75,1602,1.67,954,404.0,0.953,0.658,2,4.01,5.77,3.75,2.15,3720.3,0.4,5.59,8.11
11.37,225,1.18,1627,94.9,0.624,0.433,45,2.71,5.02,2.273,2.93,495.2,0.42,3.23,5.96
7.39,2542,2.11,1445,55.1,0.941,0.501,7,3.32,2.77,1.478,4.53,3259.1,1.29,3.42,2.93
10.81,916,0.99,1100,360.6,0.95,0.674,30,2.05,3.28,2.161,3.53,1520.4,0.43,2.24,3.84
19.66,1929,2.45,1224,78.2,0.958,0.888,18,2.45,4.86,3.932,2.86,4583.2,0.55,3.51,7.08
11.37,675,1.19,2780,425.0,0.562,0.628,5,2.28,5.63,2.275,3.71,1134.0,0.45,2.81,6.66
8.59,2472,1.17,1917,363.1,0.64,0.723,13,2.72,2.62,1.718,3.76,3492.5,0.67,2.92,2.92
13.77,1515,1.12,2024,420.9,0.922,0.935,2,2.3,5.34,2.754,2.56,2923.0,0.28,2.93,6.67
7.08,1029,0.74,750,149.5,0.615,0.948,0,4.08,4.47,1.416,3.89,1345.2,0.44,4.24,4.69
4.29,1563,0.72,2044,158.3,0.76,0.529,43,2.09,4.41,1.01,4.54,1650.0,0.67,2.19,4.51
5.19,932,1.8,578,335.6,0.471,0.426,29,3.85,5.85,1.038,4.6,982.0,1.64,4.04,5.95
5.18,1154,2.25,1397,15.7,0.434,0.583,45,2.42,5.12,1.035,4.82,1204.0,2.2,2.58,5.23
5.58,1748,2.08,1280,363.2,0.647,0.817,18,4.84,5.48,1.116,4.35,1944.9,1.77,4.94,5.6
5.36,2000,0.78,725,417.9,0.747,0.971,18,4.8,3.74,1.072,4.5,2065.4,0.73,4.9,3.9
13.89,1557,1.59,1574,207.6,0.636,0.446,8,2.68,4.44,2.779,2.95,2949.9,0.5,3.27,5.6
6.09,2984,0.71,1709,382.4,0.747,0.417,6,3.84,4.65,1.218,4.37,3334.5,0.55,4.15,4.8
8.88,1499,0.59,1557,87.3,0.709,0.93,45,2.08,3.63,1.775,3.72,2110.3,0.37,2.21,4.12
18.25,542,1.81,1302,161.1,0.811,0.849,36,4.8,4.5,3.649,2.55,1215.9,0.44,6.82,6.17
11.06,2222,1.57,1241,487.2,0.79,0.995,40,3.57,3.33,2.211,3.51,3602.9,0.7,4.17,3.89
14.35,656,0.66,2678,493.2,0.655,0.638,6,2.13,3.0,2.87,3.39,1266.9,0.21,2.92,3.89
5.93,1278,0.57,1203,256.3,0.655,0.65,8,3.03,3.81,1.186,4.2,1502.7,0.49,3.13,3.91
6.27,2137,2.48,1926,467.1,0.484,0.503,3,2.23,5.09,1.254,4.06,2423.7,1.99,2.33,5.26
3.69,462,0.56,2870,261.4,0.708,0.47,24,3.18,5.71,1.01,4.9,512.0,0.51,3.28,5.81
5.87,2595,1.39,1114,145.8,0.752,0.747,11,4.01,4.1,1.174,4.62,3001.9,1.19,4.3,4.4
7.74,1357,1.51,828,133.4,0.686,0.619,5,3.41,4.75,1.547,4.29,1890.8,0.99,3.88,5.29
6.01,1941,0.73,1895,464.8,0.595,0.448,17,3.15,2.86,1.202,4.28,2188.4,0.68,3.33,2.96
4.51,2409,0.84,1983,86.2,0.833,0.932,39,2.36,5.67,1.01,4.9,2559.0,0.79,2.46,5.77
5.05,1950,1.2,632,289.8,0.445,0.519,20,2.73,4.49,1.01,4.9,2000.0,1.15,2.83,4.59
10.83,2272,2.02,1334,277.8,0.949,0.849,14,2.3,5.23,2.167,3.53,3648.1,0.78,2.81,6.04
6.51,1010,1.51,620,369.8,0.412,0.569,2,4.42,5.28,1.302,3.99,1339.7,1.1,4.77,5.63
9.19,344,1.78,1975,249.6,0.977,0.888,1,2.41,3.4,1.839,4.08,627.3,0.89,2.7,3.67
11.56,641,2.47,1464,136.1,0.677,0.471,40,3.79,4.35,2.312,3.58,1125.4,1.05,4.58,5.11
14.74,2632,2.04,628,84.7,0.648,0.854,39,3.03,5.86,2.947,3.16,5255.5,0.62,3.93,7.75
3.67,2269,1.37,2098,310.4,0.554,0.459,3,2.68,2.81,1.01,4.51,2367.4,1.32,2.78,2.95
16.59,2272,1.39,2576,359.5,0.406,0.668,31,3.92,4.89,3.318,3.04,4796.8,0.28,5.44,6.7
13.67,1672,1.74,2047,284.8,0.565,0.84,1,3.37,5.87,2.735,2.66,3125.6,0.57,4.19,7.54
4.39,2317,1.83,832,369.2,0.466,0.504,45,3.2,3.55,1.01,4.7,2375.4,1.78,3.3,3.66
17.85,223,1.5,1653,70.8,0.796,0.571,28,3.78,5.52,3.57,2.72,626.3,0.32,5.22,7.49
18.65,2793,1.79,1816,441.2,0.591,0.919,1,3.47,5.77,3.731,2.35,6312.0,0.33,4.78,8.14
4.04,1831,0.55,1696,291.2,0.86,0.931,33,2.91,5.11,1.01,4.9,1948.9,0.5,3.01,5.21
7.71,885,1.36,1929,63.4,0.524,0.427,26,3.68,3.31,1.541,4.14,1121.3,0.89,4.14,3.5
16.71,2143,1.06,855,231.0,0.94,0.501,38,4.01,3.67,3.341,2.34,4600.3,0.27,5.46,5.09
15.72,2348,0.76,638,422.4,0.714,0.47,43,2.08,2.63,3.144,2.98,4881.9,0.21,2.89,3.46
6.14,2516,0.7,2026,448.8,0.469,0.508,37,3.4,5.41,1.227,4.9,2947.1,0.59,3.5,5.51
6.56,896,1.71,1697,132.3,0.641,0.982,17,2.17,5.47,1.312,4.03,1023.3,1.22,2.44,5.64
9.3,176,1.55,528,355.6,0.524,0.731,35,2.56,4.71,1.86,3.76,293.1,0.83,2.93,5.21
11.24,158,1.01,1430,50.0,0.52,0.681,18,3.68,3.73,2.247,3.18,328.9,0.34,4.18,4.59
13.51,2578,1.44,1513,16.8,0.704,0.991,26,4.6,2.77,2.702,3.0,4761.6,0.46,5.83,3.53
9.27,2785,1.48,1327,280.2,0.803,0.734,44,4.65,5.14,1.854,3.46,4073.8,0.78,5.42,5.82
10.86,1623,0.89,850,347.4,0.947,0.797,19,2.21,5.04,2.173,3.25,2718.7,0.44,2.43,5.93
15.71,2036,1.8,2524,397.9,0.701,0.6,20,3.26,5.69,3.141,2.35,4218.0,0.57,4.34,7.58
3.62,2256,2.06,798,170.1,0.98,0.629,22,3.75,5.06,1.01,4.9,2306.0,2.01,3.92,5.17
7.29,1401,2.08,2243,3.3,0.965,0.757,29,2.44,5.4,1.458,4.27,1830.6,1.35,2.54,5.79
15.13,167,1.7,2365,239.8,0.919,0.442,24,4.3,5.11,3.025,2.88,466.1,0.43,5.65,6.84
18.22,2452,1.52,1715,7.9,0.7,0.554,30,4.23,4.71,3.644,2.5,5454.7,0.31,5.9,6.76
11.7,2032,0.62,2195,46.0,0.485,0.518,26,4.71,3.99,2.34,3.31,3535.1,0.32,5.6,5.0
12.05,2821,1.08,2611,163.3,0.531,0.41,33,2.03,5.66,2.409,3.1,4852.1,0.48,2.5,6.92
4.82,464,0.69,1254,218.6,0.789,0.722,7,2.65,4.78,1.01,4.84,514.0,0.64,2.75,4.96
10.61,920,2.43,1269,139.7,0.653,0.737,18,4.48,3.89,2.121,3.4,1452.1,0.98,5.34,4.51
12.05,1502,0.77,1738,290.9,0.488,0.63,40,4.01,2.79,2.411,3.0,2637.9,0.3,4.66,3.53
7.12,2490,0.8,1333,27.7,0.687,0.561,25,4.68,3.52,1.424,3.87,3216.6,0.57,4.9,3.91
7.58,1046,2.28,2713,72.3,0.41,0.791,27,2.17,4.4,1.515,4.12,1362.7,1.48,2.34,4.91
9.41,1677,2.39,2406,347.6,0.84,0.481,3,3.79,3.46,1.883,3.99,2565.6,1.22,4.24,4.06
3.34,1477,2.03,2064,71.1,0.444,0.711,30,3.71,3.27,1.01,4.63,1527.0,1.98,3.81,3.37
8.48,1539,0.51,1718,319.9,0.777,0.861,15,2.11,4.35,1.695,3.37,2137.2,0.26,2.46,4.66
6.59,861,0.5,1005,27.3,0.876,0.499,9,3.54,3.09,1.319,4.1,1076.5,0.31,3.88,3.19
8.57,440,1.26,1857,203.7,0.48,0.852,37,3.83,5.3,1.713,4.3,725.6,0.64,4.39,5.98
5.04,482,0.79,1960,88.7,0.711,0.856,9,2.57,4.2,1.01,4.9,601.5,0.68,2.67,4.3
18.14,1103,0.54,1916,54.8,0.867,0.436,44,2.82,4.51,3.628,2.72,2587.3,0.2,4.09,6.28
13.09,1656,1.43,1672,283.5,0.556,0.411,8,3.92,3.02,2.618,3.52,3039.8,0.41,5.04,3.77
14.54,399,2.39,1260,464.2,0.498,0.984,38,3.4,3.64,2.909,2.88,886.4,0.7,4.34,4.72
16.42,238,1.15,1332,27.4,0.602,0.516,35,4.57,3.94,3.283,3.24,492.8,0.34,6.05,5.46
11.47,458,1.82,1928,210.8,0.733,0.893,35,3.03,5.33,2.295,3.1,867.4,0.81,3.45,6.43
4.48,935,1.8,782,353.8,0.745,0.737,18,2.8,5.2,1.01,4.72,1080.5,1.75,2.9,5.32
12.13,1622,1.0,878,231.3,0.479,0.559,18,4.95,3.28,2.426,3.35,2775.2,0.33,6.19,4.01
12.98,1727,1.8,697,403.2,0.675,0.478,11,4.73,4.66,2.595,2.98,3172.5,0.56,5.89,5.9
15.67,2082,0.92,1055,89.8,0.561,0.698,12,2.09,3.35,3.134,2.95,4331.5,0.2,2.82,4.33
10.34,1403,0.74,855,479.8,0.905,0.644,24,4.31,5.96,2.068,3.28,2299.5,0.43,4.85,6.8
5.17,2630,1.9,2063,192.6,0.588,0.819,35,2.33,5.83,1.034,4.9,2680.0,1.84,2.43,6.03
7.82,1008,0.73,1540,170.8,0.903,0.943,24,2.08,4.47,1.565,3.77,1478.0,0.38,2.24,4.93
9.17,1234,2.49,878,437.3,0.657,0.883,27,2.82,4.95,1.834,3.24,1876.1,1.35,3.35,5.63
13.98,2286,0.87,1179,281.9,0.836,0.565,41,2.81,5.31,2.796,3.4,4329.7,0.26,3.51,6.72
12.7,1095,1.69,2279,258.2,0.706,0.927,38,4.46,5.02,2.541,3.52,1915.2,0.69,5.64,6.14
9.05,2582,1.32,1398,363.5,0.773,0.9,29,4.13,4.95,1.811,4.19,3848.7,0.64,4.48,5.57
19.77,2656,0.75,575,289.9,0.637,0.957,4,4.94,5.85,3.954,2.73,6237.7,0.2,7.18,8.3
13.3,2420,0.56,730,81.3,0.861,0.675,16,4.13,4.59,2.66,3.25,4438.2,0.2,5.2,5.71
7.03,2251,1.75,2239,337.1,0.655,0.861,17,3.25,4.73,1.407,4.27,2850.9,1.28,3.6,5.0
4.73,1337,2.11,1461,66.7,0.674,0.755,42,4.1,5.47,1.01,4.6,1416.0,2.06,4.2,5.57
5.6,1884,2.18,2849,402.9,0.711,0.586,20,5.0,4.84,1.12,4.41,2109.3,1.94,5.1,4.99
7.18,2909,1.47,2762,494.9,0.899,0.997,21,4.13,5.07,1.436,3.96,3676.4,0.93,4.29,5.58
5.73,2934,2.05,2616,188.7,0.796,0.423,38,4.29,3.32,1.146,4.9,3300.2,1.75,4.56,3.45
6.17,264,1.85,892,222.4,0.609,0.497,5,4.82,3.8,1.234,4.17,446.0,1.56,4.92,4.09
7.85,1098,1.95,1608,23.2,0.802,0.936,15,2.34,3.02,1.569,4.41,1459.4,1.21,2.44,3.3
5.95,2667,1.49,766,6.9,0.785,0.436,1,4.11,4.27,1.189,4.61,3063.1,1.28,4.25,4.44
18.25,1407,1.77,1592,460.7,0.959,0.932,0,4.55,4.1,3.649,2.83,3295.4,0.42,6.37,5.55
4.36,2664,2.11,1110,64.3,0.905,0.829,29,4.86,5.99,1.01,4.59,2767.9,2.06,5.01,6.09
11.92,756,1.3,1870,222.9,0.788,0.422,42,2.63,4.64,2.383,3.01,1387.2,0.48,3.36,5.63
9.98,2760,2.11,1508,407.7,0.605,0.658,36,3.51,5.25,1.995,4.0,4245.1,1.03,4.05,6.0
19.7,2311,1.68,1461,444.7,0.868,0.853,22,4.04,3.67,3.94,2.29,5501.9,0.44,6.0,5.41
4.9,2009,0.83,1172,259.7,0.745,0.75,0,2.74,5.41,1.01,4.77,2084.0,0.78,2.84,5.51
9.76,2146,0.55,2970,282.5,0.991,0.962,18,3.8,4.65,1.953,3.28,3350.5,0.26,4.25,5.47
19.48,2211,1.23,2200,334.8,0.549,0.921,45,2.77,4.94,3.896,2.16,5322.3,0.24,4.15,7.27
17.71,1240,1.59,2662,480.7,0.448,0.6,2,3.0,3.53,3.543,2.39,2690.5,0.33,4.21,4.74
16.89,1989,2.18,2767,301.3,0.442,0.451,1,3.32,4.42,3.378,2.86,4219.5,0.66,4.48,5.95
7.38,366,0.75,530,279.7,0.784,0.967,36,3.59,4.72,1.477,4.07,432.6,0.45,3.92,5.12
5.91,1945,2.1,1866,7.3,0.964,0.71,16,3.35,4.56,1.181,4.65,2256.7,1.81,3.45,4.66
14.37,1808,2.23,1900,40.5,0.401,0.445,27,3.48,5.7,2.873,2.57,3474.3,0.74,4.3,7.21
