Measured_PPV_mm_per_s,Distance_from_Dam_m,Charge_Factor,Total_Explosive_Quantity_kg,SDI,BVII,RDI,Slope_deg,Burden_m,Spacing_m,Dam_State,Dam_State_ID
7.4325,3224,0.2585,2414,198.474,0.5028,0.8636,23,4.6716,5.6398,Failed,2
3.9478,1427,1.6854,768,227.6916,0.8395,0.3409,10,4.0526,3.2681,Failed,2
6.9411,2508,1.6649,1121,207.4802,0.6508,0.8995,21,2.9144,5.0534,Failed,2
14.7025,3773,0.9834,2005,365.2462,0.6151,0.9409,14,5.4367,5.1183,Failed,2
7.44,3391,0.3649,1209,67.6777,0.1757,0.6709,9,5.1426,6.3164,Failed,2
4.9984,4133,1.1421,299,98.8196,0.5132,0.6644,40,2.4498,5.6006,Failed,2
9.5377,803,0.9158,2411,90.2591,0.7154,0.4528,26,2.0916,5.7145,Failed,2
3.6782,674,1.7574,1942,131.2353,0.9733,0.8355,8,4.4092,4.6264,Failed,2
1.2304,3332,1.5933,1903,262.6292,0.2014,0.9616,27,4.1145,3.2471,Intact,0
2.0203,4883,1.0386,1553,55.6044,0.0095,0.7751,0,5.2754,4.2023,Damaged,1
2.0079,2732,0.7012,1284,434.0846,0.0753,0.6219,16,2.819,4.698,Damaged,1
2.3634,3928,2.4725,93,148.6808,0.3759,0.6068,30,2.2954,5.2137,Damaged,1
2.1685,3330,1.2442,632,81.269,0.8205,0.8495,43,2.9073,4.9308,Damaged,1
9.649,588,1.783,1338,337.8107,0.0071,0.5412,9,2.0662,4.0759,Failed,2
2.81,1447,0.5233,269,19.0432,0.4567,0.8039,36,2.1256,3.5613,Damaged,1
5.2504,3781,1.3169,1975,309.9843,0.3292,0.5089,28,5.202,3.1729,Failed,2
13.4621,3273,0.2633,2498,349.0992,0.0525,0.0624,17,3.2321,5.2754,Failed,2
7.162,4689,1.3625,1040,107.4583,0.4502,0.3839,37,3.4378,5.0816,Failed,2
10.0466,1767,2.4172,1862,20.982,0.2547,0.4444,38,2.0643,5.2495,Failed,2
2.6676,1737,1.0837,907,181.8227,0.3519,0.1416,5,2.9468,3.9901,Damaged,1
2.9651,4214,0.2897,853,49.2971,0.7056,0.1025,39,4.8165,3.5496,Damaged,1
0.7089,3653,0.2712,539,58.2389,0.5216,0.5355,11,4.1542,5.5389,Intact,0
2.6171,1100,1.0924,1830,127.1306,0.1246,0.0851,13,4.6382,5.5946,Damaged,1
4.251,950,0.5681,1543,147.734,0.9614,0.3029,43,3.5652,4.3225,Failed,2
2.7375,1488,0.2537,1755,264.9852,0.6359,0.7446,9,3.0841,4.9476,Damaged,1
1.4217,3812,1.9393,2364,339.1959,0.7659,0.9644,19,3.6898,3.9941,Damaged,1
1.8975,1467,1.2546,103,296.3855,0.0792,0.7179,14,3.1307,5.3078,Damaged,1
6.9656,921,0.8653,665,74.1802,0.0471,0.9926,30,4.9364,5.8429,Failed,2
3.1744,554,2.2702,1132,86.043,0.0194,0.6983,6,3.0419,5.2529,Failed,2
5.5276,1724,0.4671,1898,439.3846,0.1888,0.2938,40,4.3092,4.5503,Failed,2
7.6009,2872,2.3986,1004,279.1762,0.4144,0.6721,9,2.4794,4.3346,Failed,2
10.3869,3826,0.9221,2483,434.9689,0.9358,0.7022,9,4.404,5.0693,Failed,2
0.6858,3247,2.2433,1679,185.7733,0.4571,0.3717,38,5.1965,5.2192,Intact,0
12.0112,4189,1.5868,699,307.2,0.2903,0.0177,27,4.13,4.7349,Failed,2
9.4557,4906,2.1014,2397,261.8317,0.5619,0.7032,29,3.9595,4.9998,Failed,2
1.3182,2290,2.4632,444,159.5617,0.1119,0.0217,36,5.3639,2.8864,Intact,0
13.1163,1016,0.8633,1409,234.9577,0.6095,0.6312,2,4.1959,6.3071,Failed,2
13.821,4086,2.4106,2493,251.2454,0.5684,0.1636,42,2.9084,5.6631,Failed,2
1.0101,2975,1.0958,420,100.3855,0.792,0.5656,14,3.0234,3.9957,Intact,0
4.2255,1540,1.0867,907,157.5052,0.9867,0.5039,20,4.4686,4.7513,Failed,2
12.1124,4500,0.9829,840,395.7049,0.2509,0.0135,36,4.574,2.6893,Failed,2
11.2491,835,1.4452,707,457.8941,0.5097,0.3629,11,3.0622,2.6649,Failed,2
2.8494,3668,0.5545,1442,179.897,0.9089,0.6011,3,3.2087,3.5032,Damaged,1
3.2193,3438,1.4735,433,153.4861,0.7852,0.8486,8,5.4687,5.2588,Damaged,1
5.62,3115,1.4459,2159,97.5986,0.4874,0.8886,38,2.3568,5.9086,Failed,2
7.3194,2989,1.9524,288,339.2456,0.9454,0.4838,41,3.4163,4.7367,Failed,2
9.312,1061,2.1174,244,161.5499,0.0572,0.7284,27,2.2186,4.6285,Failed,2
5.5968,3089,1.213,2158,493.8748,0.931,0.3165,22,4.8738,4.1092,Failed,2
6.9918,3948,0.8954,1202,162.8424,0.0505,0.3422,44,2.3232,3.1464,Failed,2
11.2373,1126,0.7965,2065,197.068,0.5473,0.1945,39,4.359,2.9734,Failed,2
0.6466,3965,0.6476,205,301.6671,0.8904,0.5619,43,2.1977,5.5427,Intact,0
3.8613,2963,0.3326,972,400.8421,0.2627,0.3146,21,4.355,6.21,Failed,2
10.7289,2601,0.9876,1659,234.7593,0.4722,0.0844,23,4.9506,4.3331,Failed,2
13.4386,2047,0.8216,1024,211.328,0.3243,0.685,25,3.3959,5.1378,Failed,2
7.724,1277,2.4228,1280,497.8189,0.9521,0.7078,29,3.8274,6.1578,Failed,2
8.0285,4860,1.4827,2485,5.2468,0.8236,0.36,32,3.4054,2.8605,Failed,2
1.6969,111,0.9987,1864,447.5326,0.709,0.0767,15,3.0517,5.5819,Damaged,1
6.7664,4499,1.5351,887,74.5704,0.5876,0.4263,21,4.8114,4.9673,Failed,2
8.036,3464,0.5202,2057,392.9626,0.8206,0.4423,42,2.952,4.8945,Failed,2
3.7128,3122,1.2213,1413,308.9658,0.3923,0.6687,17,4.5303,3.6702,Failed,2
4.1117,3471,1.6403,2437,170.9236,0.4476,0.3154,6,2.7217,5.2356,Failed,2
5.7215,2930,1.3245,253,436.9375,0.73,0.6826,25,2.8745,5.6792,Failed,2
0.3991,142,1.1241,210,6.4536,0.3578,0.8715,7,3.1776,2.9514,Intact,0
4.899,1043,2.4859,441,113.3453,0.0639,0.2375,5,4.062,4.6341,Failed,2
3.2506,2490,2.2247,818,283.4464,0.0743,0.9789,29,3.5905,2.9051,Damaged,1
4.9797,2645,1.6338,1143,175.7711,0.1154,0.3864,38,4.608,5.9903,Failed,2
1.8845,2511,1.5096,454,305.1887,0.8697,0.2673,22,2.7475,4.5305,Damaged,1
13.3689,1104,1.6275,657,12.0551,0.4722,0.4215,31,2.0374,5.7319,Failed,2
8.9445,120,0.663,1664,58.2295,0.7129,0.0944,21,4.718,3.9723,Failed,2
10.2186,506,1.1088,1590,63.5481,0.3929,0.1257,41,4.8758,3.0003,Failed,2
11.8587,1114,0.2908,1887,94.6418,0.2587,0.4144,42,2.2082,2.666,Failed,2
7.5268,4531,1.2938,739,229.6657,0.3472,0.7624,44,4.1382,3.626,Failed,2
1.3951,1938,1.449,1290,376.0643,0.7942,0.9003,8,3.3237,3.4769,Damaged,1
8.1029,3288,0.7238,2153,452.7694,0.6252,0.6648,30,4.7786,4.7414,Failed,2
8.8439,814,2.4173,415,417.6863,0.9376,0.1052,6,5.0605,2.587,Failed,2
11.207,4246,2.2917,1772,98.4439,0.6797,0.672,8,4.9785,4.5823,Failed,2
6.5317,3954,1.8609,504,220.5753,0.5702,0.6354,12,4.7202,4.0671,Failed,2
2.0009,4519,1.4268,153,99.7058,0.6102,0.8058,2,2.9417,4.8085,Damaged,1
4.3283,4984,2.2009,126,132.2359,0.9424,0.8252,34,4.8416,5.3097,Failed,2
5.5099,240,0.5005,279,251.7735,0.7882,0.8682,32,3.8672,5.0364,Failed,2
9.7242,4665,2.0182,1987,34.0545,0.024,0.4141,20,2.1846,6.4386,Failed,2
8.6046,4982,0.4871,2428,109.0872,0.5341,0.6979,30,3.5993,3.0531,Failed,2
5.4058,1063,2.0267,1255,467.6891,0.6883,0.2683,33,5.2976,4.2189,Failed,2
14.7991,472,0.8343,942,233.0581,0.7487,0.9993,31,5.1075,4.1993,Failed,2
9.126,3735,2.2173,1623,222.6933,0.2131,0.1753,34,2.3579,4.1682,Failed,2
3.6347,2641,2.3713,2124,7.2836,0.8672,0.0101,14,4.6044,5.1552,Damaged,1
1.6166,3710,0.5422,1725,123.6999,0.9558,0.1488,31,4.8203,4.4593,Damaged,1
2.3776,1792,1.2642,348,433.1462,0.2367,0.7759,5,2.9499,4.5697,Damaged,1
3.7648,205,2.4563,1006,82.3142,0.8826,0.4468,44,3.6506,4.2294,Failed,2
2.4942,1781,1.3118,1164,207.5625,0.097,0.4475,20,4.4885,6.4668,Damaged,1
2.8798,4197,2.1862,1524,7.1655,0.0557,0.955,32,3.5366,6.2102,Damaged,1
4.3479,4116,1.5541,414,239.1677,0.1292,0.9196,31,2.3948,3.7309,Failed,2
2.6833,2736,1.0633,1748,10.5106,0.0577,0.3112,18,4.4706,2.9464,Damaged,1
13.4618,2237,0.8573,400,409.8048,0.845,0.2091,32,5.1907,5.8591,Failed,2
1.2955,3516,0.6674,2350,412.4269,0.0591,0.8485,27,4.2837,6.4887,Damaged,1
7.9152,4545,1.9521,1954,393.8711,0.2717,0.906,30,4.7083,3.6704,Failed,2
6.2149,3630,1.089,1061,141.682,0.1038,0.5416,20,3.2543,3.9311,Failed,2
14.7374,1386,1.3759,548,418.6186,0.2954,0.6294,33,2.6412,6.2665,Failed,2
1.7694,3279,1.3323,999,271.4991,0.0906,0.2569,14,4.2497,5.3445,Damaged,1
6.028,3754,1.5277,2044,186.9041,0.668,0.8008,13,3.1472,3.6826,Failed,2
14.5451,2459,2.1908,2096,312.665,0.1333,0.6321,18,5.0103,4.8242,Failed,2
12.9961,544,2.4557,557,6.1705,0.8518,0.5035,42,2.4292,6.2769,Failed,2
12.2744,135,1.1374,1377,71.4804,0.8172,0.0601,14,3.5171,5.7473,Failed,2
3.9428,1575,2.1033,215,371.1468,0.0137,0.9159,5,3.3885,5.4673,Failed,2
2.6462,4057,1.9584,969,122.0808,0.8957,0.6155,8,5.2832,5.448,Damaged,1
10.0628,1898,1.5191,163,299.0046,0.0289,0.1927,36,2.536,3.2121,Failed,2
13.9477,1945,2.3989,1041,192.5513,0.2396,0.6064,19,2.0345,5.7987,Failed,2
8.3958,1508,0.6611,2001,427.4029,0.0324,0.6775,33,2.8333,3.6045,Failed,2
8.617,1808,0.4513,2304,476.2077,0.3358,0.5258,37,4.871,6.2215,Failed,2
4.2717,3038,2.1641,1308,441.7824,0.5139,0.7181,25,2.7326,3.9586,Failed,2
11.5654,1400,1.21,564,135.31,0.7966,0.5815,17,2.8431,5.9306,Failed,2
2.887,1343,2.148,1281,97.0814,0.338,0.9478,27,2.4546,3.5649,Damaged,1
4.9228,4076,2.2541,758,237.2174,0.7055,0.0537,8,4.504,4.5581,Failed,2
6.439,3197,0.3437,2235,3.6671,0.1875,0.1062,31,2.2421,2.9275,Failed,2
7.6634,4716,2.232,388,12.9047,0.7506,0.1737,5,3.1592,5.1405,Failed,2
3.7119,109,1.2311,117,276.6453,0.236,0.6902,13,2.9887,5.8443,Failed,2
1.8111,2525,1.374,1646,260.2247,0.1435,0.6456,27,3.9431,5.3738,Damaged,1
9.1982,1760,1.6412,1614,497.291,0.1854,0.8921,23,4.5565,4.593,Failed,2
4.4006,2731,2.3307,432,100.9209,0.1821,0.7329,12,3.8651,2.6805,Damaged,1
8.7604,4915,0.244,68,129.052,0.5129,0.5084,42,5.2586,6.2338,Failed,2
2.4,1172,1.2967,2171,56.7703,0.8448,0.9918,11,5.33,5.322,Damaged,1
7.269,3325,1.7818,622,458.7715,0.0796,0.2661,18,3.2651,5.4835,Failed,2
8.0356,1416,1.8622,1349,388.9056,0.707,0.8332,20,4.7219,5.6787,Failed,2
0.8722,4245,1.7928,2308,411.1696,0.6543,0.4268,26,4.5858,5.491,Damaged,1
5.1154,3783,0.5092,1993,451.3819,0.8725,0.6487,18,5.1254,4.2645,Failed,2
2.1028,3373,0.8886,700,262.45,0.2441,0.7273,23,3.5678,5.4345,Damaged,1
1.0443,245,1.025,1695,225.5966,0.4501,0.6338,25,3.8567,5.0001,Intact,0
14.8504,3140,2.0502,1043,165.1957,0.9258,0.1405,44,3.4552,5.9161,Failed,2
4.9031,1562,0.8411,1388,294.6073,0.66,0.443,27,4.9763,5.7098,Failed,2
12.1671,4776,0.6846,950,227.1392,0.3888,0.5614,45,2.804,2.6655,Failed,2
3.8941,1684,2.4021,1734,225.7828,0.1314,0.849,17,2.839,4.0155,Failed,2
10.2544,582,0.2204,1635,468.4639,0.2625,0.4436,43,3.3041,2.6389,Failed,2
11.4274,3279,2.495,1973,492.0158,0.5812,0.9187,35,2.8062,2.9083,Failed,2
8.975,1349,1.7567,1831,398.2422,0.7182,0.4404,41,3.9635,4.9056,Failed,2
7.1265,4868,2.1055,1186,378.379,0.1244,0.5488,28,2.4707,5.9953,Failed,2
6.2364,730,0.8776,2267,340.2791,0.5996,0.7963,16,3.1207,2.9793,Failed,2
5.2981,761,0.2329,1994,83.0374,0.5504,0.5831,3,5.1971,4.3044,Failed,2
13.95,3603,1.8971,1087,29.5529,0.514,0.9602,43,3.4323,6.1435,Failed,2
12.4762,2952,2.1185,1788,345.3632,0.6901,0.6603,44,4.6188,5.7572,Failed,2
14.4789,2566,1.9031,337,364.3931,0.8374,0.5227,28,2.3971,4.5787,Failed,2
1.952,1087,0.5286,2286,23.4865,0.323,0.0236,3,2.8665,5.5863,Damaged,1
10.9899,1646,1.9329,1640,464.0259,0.889,0.4137,9,4.8257,4.5908,Failed,2
14.0813,749,1.9685,1795,45.5703,0.1606,0.2992,24,4.6705,3.1324,Failed,2
2.8004,1068,1.7146,1148,142.9503,0.173,0.7481,30,3.3515,2.9989,Damaged,1
1.0908,2737,1.9621,2374,336.1949,0.2668,0.2083,2,5.3404,3.2535,Intact,0
11.1427,1200,2.1456,989,84.9363,0.1195,0.2052,1,5.1873,3.9037,Failed,2
8.6596,540,1.6113,1498,27.7079,0.2303,0.1895,24,5.3681,6.2221,Failed,2
12.6432,869,0.4038,620,165.5732,0.1064,0.1256,5,3.4977,5.6987,Failed,2
2.1826,1443,1.3215,1050,382.9858,0.8218,0.311,25,2.6912,4.2312,Damaged,1
11.9495,4458,0.3786,1255,206.8393,0.139,0.8859,7,4.1933,4.4723,Failed,2
3.1042,3829,1.1373,967,326.4865,0.7473,0.7749,34,4.3967,3.5624,Failed,2
2.5385,4006,1.1363,1924,289.8095,0.0479,0.7353,26,2.439,5.3174,Damaged,1
2.5476,1677,0.3518,882,11.1092,0.9485,0.7973,24,4.7527,5.7111,Damaged,1
12.2372,4108,1.0023,2290,494.27,0.7112,0.2694,17,2.0632,3.4556,Failed,2
10.0114,3451,0.4553,1728,20.714,0.0068,0.8874,0,3.6895,2.6673,Failed,2
7.8937,4895,2.0589,665,483.9014,0.7639,0.1373,38,3.1586,4.9956,Failed,2
5.4466,2449,2.3797,455,274.9321,0.5141,0.3363,2,4.5911,4.75,Failed,2
13.1703,3702,0.3663,1799,481.5795,0.7794,0.5867,3,3.0947,4.1085,Failed,2
5.9474,1341,2.3968,142,57.3768,0.5225,0.1029,40,4.8938,5.0756,Failed,2
12.2673,1225,1.4019,703,245.2043,0.641,0.7301,36,4.0823,4.7025,Failed,2
6.6431,2701,0.889,483,84.752,0.7863,0.3872,14,4.7786,3.5023,Failed,2
5.7165,1290,0.3768,1185,25.4874,0.4051,0.7844,7,5.4627,4.0909,Failed,2
6.9939,4231,1.3514,424,308.7646,0.0027,0.4929,37,4.3771,4.2125,Failed,2
4.5905,4939,2.0274,1116,103.8917,0.8499,0.1809,18,5.4473,6.021,Failed,2
11.2394,4548,1.8263,256,293.8485,0.3809,0.7348,25,2.1009,6.3436,Failed,2
7.5905,172,0.3155,829,56.1822,0.496,0.2521,38,3.1835,6.072,Failed,2
3.56,2014,0.3677,1369,165.9932,0.0078,0.4908,9,2.3775,5.3767,Damaged,1
13.5037,2572,1.1266,1191,390.8163,0.4921,0.0755,37,2.9181,4.84,Failed,2
5.82,3146,0.8792,581,218.5258,0.9865,0.6179,13,4.9361,5.257,Failed,2
8.1989,807,0.7345,2263,313.8727,0.2783,0.6659,40,2.1131,6.2564,Failed,2
13.6064,1904,0.8463,139,323.729,0.3954,0.3787,18,3.8206,3.5,Failed,2
9.4011,3813,2.048,1167,421.8775,0.6872,0.9544,29,3.985,4.6405,Failed,2
1.8418,2664,2.3372,62,162.4614,0.8148,0.8742,4,3.964,5.2584,Damaged,1
14.1035,2575,1.1317,1907,343.6478,0.4174,0.7079,30,3.6635,5.217,Failed,2
9.4528,3710,2.2841,854,480.8079,0.3097,0.7137,6,4.7671,3.5091,Failed,2
5.0901,4355,0.9394,994,365.1217,0.9378,0.2524,18,2.4674,4.8469,Failed,2
2.1752,2923,1.2958,1907,244.9352,0.6771,0.6568,30,3.087,5.6837,Damaged,1
11.931,1835,0.7199,1660,315.3587,0.119,0.1982,38,4.155,4.4003,Failed,2
9.3391,1685,1.6731,2009,369.8414,0.0689,0.144,23,4.4183,5.6732,Failed,2
8.0486,166,2.4517,1102,306.1379,0.4835,0.9995,33,3.4145,3.9395,Failed,2
13.419,3161,1.588,345,8.3379,0.2201,0.6224,22,5.0638,6.255,Failed,2
11.8501,2528,1.023,975,97.3867,0.254,0.431,44,3.4542,4.6357,Failed,2
2.36,4253,1.69,689,405.2341,0.8777,0.2882,39,3.4097,4.8838,Failed,2
4.7447,441,0.4827,2437,136.3253,0.0896,0.6039,5,2.1267,2.6254,Failed,2
3.8025,2874,2.2439,677,365.7811,0.7154,0.0496,37,3.929,3.1811,Failed,2
11.1848,2917,1.3571,1217,186.0601,0.2711,0.0947,40,4.4804,5.0317,Failed,2
0.5996,2761,1.2335,991,260.9422,0.7603,0.0329,35,2.4005,4.1795,Intact,0
8.5914,1332,1.5475,879,33.9866,0.7224,0.4992,26,3.069,4.5327,Failed,2
11.4606,3974,1.637,1820,90.6128,0.0074,0.6006,10,4.7344,2.7519,Failed,2
13.1638,2501,0.3651,1025,478.5985,0.5091,0.0625,4,3.2807,5.8365,Failed,2
5.197,1594,1.77,1004,445.069,0.1393,0.7212,16,2.8456,5.638,Failed,2
12.3367,4311,0.7564,1312,326.1376,0.8662,0.2304,6,4.3527,3.2414,Failed,2
1.7484,761,1.8421,1001,229.8223,0.8716,0.6852,26,2.6887,5.0373,Damaged,1
12.7121,3983,2.0918,993,337.8806,0.4183,0.9819,14,5.1348,5.7733,Failed,2
1.9996,3719,2.0491,2252,309.3051,0.4444,0.6911,45,2.3696,5.0634,Damaged,1
6.0196,1968,1.4708,1254,284.2761,0.3033,0.8832,12,4.4729,3.7416,Failed,2
11.9797,2434,1.3964,2185,29.5885,0.7166,0.9482,10,3.7484,5.1244,Failed,2
2.3338,3474,0.5286,1584,316.4013,0.3587,0.4868,44,5.0448,3.3418,Damaged,1
3.5158,1116,1.9833,1146,384.46,0.2678,0.7023,25,2.4417,3.773,Failed,2
10.8616,4506,0.8242,228,497.0408,0.4322,0.852,21,4.3726,3.4603,Failed,2
10.8285,307,1.3424,2309,5.5393,0.0915,0.3566,27,4.0022,4.7277,Failed,2
9.6531,2765,0.8538,1878,365.0867,0.7466,0.2614,23,3.6803,2.9329,Failed,2
10.4398,2593,0.5078,1307,285.8947,0.0126,0.9466,28,3.7199,6.2332,Failed,2
8.1866,732,1.648,514,217.0261,0.6445,0.7263,8,4.5269,3.834,Failed,2
3.8518,2202,0.325,1824,63.7851,0.1829,0.2197,41,5.2821,3.3759,Damaged,1
5.2509,3059,1.9219,1280,204.5426,0.2324,0.4491,3,2.3194,4.4862,Failed,2
2.8058,3183,0.9304,934,177.1886,0.6356,0.7965,45,2.0683,3.608,Damaged,1
13.6359,4852,0.2003,2463,151.4149,0.9929,0.5471,17,4.82,4.6396,Failed,2
8.7925,2031,1.3756,2373,365.4398,0.7777,0.65,42,2.3786,3.894,Failed,2
6.0727,3819,0.3078,2477,350.3628,0.2258,0.7538,15,5.4534,3.0283,Failed,2
6.9839,2662,0.8352,1382,294.51,0.176,0.622,32,4.1677,3.5636,Failed,2
14.2145,1779,1.826,1704,469.3324,0.8662,0.5401,28,4.278,4.2538,Failed,2
2.3849,336,0.3442,994,174.9272,0.4442,0.7496,38,2.6961,2.6212,Damaged,1
8.8348,4543,2.1305,974,121.901,0.1371,0.7276,9,2.8411,5.5826,Failed,2
7.6377,4825,0.2088,1988,327.9517,0.8622,0.6299,8,4.3077,4.9873,Failed,2
9.2107,1640,0.7677,543,99.407,0.8161,0.3598,30,5.184,4.9054,Failed,2
0.3698,4043,1.9041,1596,157.5053,0.9839,0.4058,27,5.4384,4.6842,Intact,0
13.0946,463,0.9274,2019,112.3012,0.9097,0.9704,2,2.6931,4.8613,Failed,2
13.9886,2468,0.4344,1144,34.5768,0.8518,0.1124,13,2.4694,6.2386,Failed,2
8.5205,385,1.0285,2461,413.7494,0.0526,0.2685,24,2.1974,2.5343,Failed,2
10.4801,248,0.8219,1875,127.2703,0.1044,0.4924,14,5.039,2.6912,Failed,2
13.8452,4137,2.1382,812,236.5138,0.569,0.8367,1,3.0315,3.266,Failed,2
10.6379,4651,0.9207,2373,21.6576,0.5315,0.1637,23,2.0063,3.1692,Failed,2
2.3728,1866,2.0145,99,349.6697,0.458,0.277,13,2.7834,3.2248,Damaged,1
8.6867,4995,2.2513,955,165.2805,0.3968,0.0658,6,3.1915,5.1878,Failed,2
9.1401,1112,1.1978,613,372.3684,0.4312,0.706,35,5.4685,4.3379,Failed,2
6.4195,2931,2.2929,832,206.2015,0.5693,0.2382,23,3.8324,6.4671,Failed,2
11.073,2607,1.0678,2090,97.8778,0.0021,0.3887,26,2.7165,3.4075,Failed,2
14.0221,1623,2.4174,1881,256.5875,0.2607,0.4437,36,3.1719,3.7433,Failed,2
13.891,2885,0.4054,633,65.2523,0.5183,0.8913,37,3.1561,6.437,Failed,2
6.8175,2656,1.7801,1369,220.2696,0.7222,0.4113,29,2.069,5.827,Failed,2
1.7872,3825,1.3358,285,158.6527,0.1742,0.1452,26,2.4731,4.3792,Damaged,1
14.7741,4676,1.0916,2153,455.9798,0.5469,0.5243,38,4.4332,4.7184,Failed,2
12.5996,1701,1.6552,1992,30.4644,0.7145,0.963,14,2.4209,5.8727,Failed,2
1.9575,2508,1.8189,409,347.0087,0.4446,0.6077,25,2.8076,4.4239,Damaged,1
13.8205,440,0.21,1980,91.3756,0.0271,0.9834,0,3.2276,3.3241,Failed,2
13.0615,2917,0.584,159,159.5225,0.4493,0.8411,3,4.6521,5.8138,Failed,2
7.8307,2596,1.84,241,207.757,0.2964,0.036,28,4.0384,4.6511,Failed,2
8.91,1825,1.7327,953,454.0075,0.9296,0.6584,0,4.4115,3.1122,Failed,2
6.0451,1789,2.4219,1166,121.2891,0.1246,0.2868,42,3.9845,4.5223,Failed,2
0.9159,3367,1.9504,911,45.6544,0.6525,0.5596,45,4.3926,4.1528,Intact,0
5.0944,4506,2.3868,1133,159.3448,0.0527,0.2793,21,2.0099,6.0074,Failed,2
12.0625,361,1.8158,699,52.338,0.4462,0.3489,10,5.2581,3.0042,Failed,2
0.169,1542,0.8855,88,64.2982,0.554,0.9232,9,2.3882,6.0008,Intact,0
5.0691,505,0.4423,686,286.9253,0.298,0.2066,16,3.4219,4.5488,Failed,2
6.0327,2290,1.9982,1086,30.451,0.4551,0.8741,35,4.6986,4.1175,Failed,2
8.1072,4537,1.6815,85,15.4654,0.1636,0.0305,25,3.5233,3.1479,Failed,2
13.8058,343,0.3108,2198,357.2071,0.3041,0.0909,20,5.3139,5.3033,Failed,2
5.2606,4685,1.0281,1411,180.8235,0.6211,0.8547,12,3.6366,6.2072,Failed,2
5.2696,4207,2.4006,2033,62.6877,0.3018,0.6306,8,5.0623,4.0015,Failed,2
11.0888,660,1.3509,215,126.8064,0.8997,0.7472,10,4.8379,3.4663,Failed,2
6.838,4237,1.1953,2480,321.0433,0.6284,0.2094,10,5.4335,4.7195,Failed,2
3.4466,2825,1.2527,1929,137.7683,0.4386,0.5371,5,5.2429,5.6847,Damaged,1
6.8413,693,0.6804,80,247.2606,0.0388,0.7372,0,5.1434,2.5151,Failed,2
2.1988,1926,1.048,60,60.8477,0.4995,0.6273,5,4.5606,5.0255,Damaged,1
2.7282,3329,1.0506,2061,294.0468,0.7648,0.4717,12,3.2845,4.8861,Damaged,1
7.5257,3387,0.3204,2193,158.0388,0.2656,0.9598,21,2.3714,3.7726,Failed,2
6.342,4173,1.9654,2289,313.4842,0.8068,0.6762,30,4.4103,4.3057,Failed,2
13.7312,233,1.158,535,404.1974,0.2518,0.9078,21,5.4253,3.4879,Failed,2
5.4997,3238,2.091,1339,305.8232,0.8237,0.7298,36,4.5431,5.6595,Failed,2
8.7508,4019,2.1558,1497,147.8738,0.0853,0.7355,26,5.2506,5.0381,Failed,2
9.5207,172,0.6876,2335,127.8719,0.8662,0.08,13,4.8151,4.6308,Failed,2
0.2951,4594,1.7119,1993,163.7105,0.4992,0.3595,4,2.5709,4.0701,Intact,0
9.9867,4325,1.2862,2013,82.3103,0.2965,0.8584,35,2.8722,3.6655,Failed,2
2.7527,3078,2.2244,1901,90.5859,0.2651,0.2326,31,3.1965,5.7909,Damaged,1
14.4199,4461,0.6962,1519,395.3456,0.432,0.1155,33,2.5889,4.3056,Failed,2
2.3151,2085,1.759,1416,192.3663,0.999,0.3261,6,4.0358,4.5058,Damaged,1
6.2779,892,1.5978,1040,217.9976,0.2203,0.2204,41,5.4141,4.5833,Failed,2
1.3717,4359,0.8792,874,297.0247,0.1032,0.9253,9,4.6651,4.2935,Damaged,1
14.9534,194,0.5142,1512,294.8267,0.585,0.868,16,3.4819,3.5244,Failed,2
7.5827,1233,1.6988,2203,33.6884,0.4885,0.4997,29,2.0158,2.9814,Failed,2
8.9712,337,1.8988,2278,415.7704,0.5242,0.0613,20,3.0965,2.8941,Failed,2
1.0994,3046,0.9259,2281,88.6633,0.6669,0.7146,12,3.8437,5.5299,Intact,0
11.2744,2630,1.6831,275,361.5358,0.2671,0.6234,0,3.1349,3.3941,Failed,2
3.2276,2060,1.1088,826,386.3355,0.9107,0.9706,0,2.3886,2.7227,Failed,2
13.481,1148,1.8404,1162,357.4498,0.4357,0.559,32,3.5497,5.6901,Failed,2
3.1566,2629,0.6582,737,289.4888,0.1291,0.3364,37,2.8864,3.1162,Damaged,1
2.9412,3064,2.2475,579,7.3045,0.7423,0.519,24,5.1823,5.0006,Damaged,1
0.6446,1063,0.861,1021,180.1877,0.6431,0.9793,25,2.3561,3.8546,Intact,0
7.1338,636,1.0459,985,302.4197,0.3157,0.6964,12,2.172,3.0059,Failed,2
8.5161,4323,0.3336,1472,193.7256,0.6215,0.672,27,2.0186,4.1579,Failed,2
1.0791,3779,0.4565,2203,431.7399,0.2199,0.2407,32,3.1482,2.5592,Damaged,1
11.6554,4287,1.3865,1344,154.4011,0.4448,0.7436,36,4.3114,5.8642,Failed,2
6.854,3824,0.8155,2048,146.7674,0.8994,0.7503,40,4.5564,4.554,Failed,2
7.9134,642,2.1216,1576,132.9988,0.1335,0.3173,29,3.5864,3.0566,Failed,2
6.6674,945,0.2338,728,166.3904,0.3867,0.4837,7,4.3952,3.4479,Failed,2
6.0714,3703,1.0719,2490,278.7025,0.8211,0.2946,0,3.2597,4.2919,Failed,2
8.4386,3136,0.9759,89,353.5076,0.9695,0.2587,11,4.3373,3.2555,Failed,2
2.4131,2594,0.2445,1155,331.284,0.4539,0.0259,4,2.1421,3.5744,Damaged,1
